query_id,q_type,exec_n,exec_time
63,single_bgps,1,22.061819791793823
63,single_bgps,2,21.089873790740967
63,single_bgps,3,21.44413924217224
64,single_bgps,0,0.6820063591003418
64,single_bgps,1,0.7003085613250732
64,single_bgps,2,0.700777530670166
64,single_bgps,3,0.6839215755462646
65,single_bgps,0,21.400092601776123
65,single_bgps,1,21.78538227081299
65,single_bgps,2,19.37491488456726
65,single_bgps,3,20.838860273361206
66,single_bgps,0,0.06749081611633301
66,single_bgps,1,0.028157711029052734
66,single_bgps,2,0.027896881103515625
66,single_bgps,3,0.027595043182373047
67,single_bgps,0,0.004580974578857422
67,single_bgps,1,0.0030128955841064453
67,single_bgps,2,0.0030455589294433594
67,single_bgps,3,0.002967357635498047
68,single_bgps,0,22.044677734375
68,single_bgps,1,20.709645986557007
68,single_bgps,2,22.650327682495117
68,single_bgps,3,21.206052541732788
69,single_bgps,0,0.11848211288452148
69,single_bgps,1,0.07584643363952637
69,single_bgps,2,0.0774540901184082
69,single_bgps,3,0.07721948623657227
70,single_bgps,0,22.990220546722412
70,single_bgps,1,24.362163305282593
70,single_bgps,2,23.670228004455566
70,single_bgps,3,24.719048261642456
71,single_bgps,0,26.387462377548218
71,single_bgps,1,23.123639822006226
71,single_bgps,2,25.5222487449646
71,single_bgps,3,22.159323930740356
72,single_bgps,0,20.72613549232483
72,single_bgps,1,23.63206124305725
72,single_bgps,2,21.082433700561523
72,single_bgps,3,22.65969729423523
73,single_bgps,0,0.04207420349121094
73,single_bgps,1,0.005568504333496094
73,single_bgps,2,0.004616498947143555
73,single_bgps,3,0.004240274429321289
74,single_bgps,0,23.370715618133545
74,single_bgps,1,24.618253707885742
74,single_bgps,2,22.44091296195984
74,single_bgps,3,22.800679206848145
75,single_bgps,0,0.05346536636352539
75,single_bgps,1,0.007249593734741211
75,single_bgps,2,0.006113767623901367
75,single_bgps,3,0.00617527961730957
76,single_bgps,0,0.01344442367553711
76,single_bgps,1,0.011467218399047852
76,single_bgps,2,0.012077808380126953
76,single_bgps,3,0.011917352676391602
77,single_bgps,0,0.03791928291320801
77,single_bgps,1,0.036163330078125
77,single_bgps,2,0.03561520576477051
77,single_bgps,3,0.03679943084716797
78,single_bgps,0,0.07127857208251953
78,single_bgps,1,0.06726908683776855
78,single_bgps,2,0.06802773475646973
78,single_bgps,3,0.06753897666931152
79,single_bgps,0,0.0973961353302002
79,single_bgps,1,0.09123373031616211
79,single_bgps,2,0.09040617942810059
79,single_bgps,3,0.09081697463989258
80,single_bgps,0,23.282256841659546
80,single_bgps,1,26.386308193206787
80,single_bgps,2,20.9091739654541
80,single_bgps,3,25.184908866882324
81,single_bgps,0,0.07265210151672363
81,single_bgps,1,0.028772354125976562
81,single_bgps,2,0.024791955947875977
81,single_bgps,3,0.024443387985229492
82,single_bgps,0,21.558780193328857
82,single_bgps,1,23.7365984916687
82,single_bgps,2,21.290630102157593
82,single_bgps,3,23.924901008605957
83,single_bgps,0,2.8654911518096924
83,single_bgps,1,2.8058247566223145
83,single_bgps,2,3.1330654621124268
83,single_bgps,3,2.836737871170044
84,single_bgps,0,0.028374195098876953
84,single_bgps,1,0.018687963485717773
84,single_bgps,2,0.011111021041870117
84,single_bgps,3,0.011016368865966797
85,single_bgps,0,0.036600351333618164
85,single_bgps,1,0.03261065483093262
85,single_bgps,2,0.041767120361328125
85,single_bgps,3,0.039237260818481445
86,single_bgps,0,0.4141199588775635
86,single_bgps,1,0.42873454093933105
86,single_bgps,2,0.42926764488220215
86,single_bgps,3,0.39732861518859863
87,single_bgps,0,12.612942218780518
87,single_bgps,1,12.426570653915405
87,single_bgps,2,11.972149133682251
87,single_bgps,3,11.83112382888794
88,single_bgps,0,11.312443733215332
88,single_bgps,1,11.68666934967041
88,single_bgps,2,11.858931541442871
88,single_bgps,3,15.183187484741211
89,single_bgps,0,2.0160937309265137
89,single_bgps,1,1.8417694568634033
89,single_bgps,2,2.096662998199463
89,single_bgps,3,2.0780961513519287
90,single_bgps,0,0.014141559600830078
90,single_bgps,1,0.003707408905029297
90,single_bgps,2,0.0030393600463867188
90,single_bgps,3,0.003142118453979492
91,single_bgps,0,23.49545192718506
91,single_bgps,1,22.734680652618408
91,single_bgps,2,22.315752506256104
91,single_bgps,3,22.07166337966919
92,single_bgps,0,0.07380437850952148
92,single_bgps,1,0.03244447708129883
92,single_bgps,2,0.03336167335510254
92,single_bgps,3,0.03238630294799805
93,single_bgps,0,2.3367645740509033
93,single_bgps,1,2.270019769668579
93,single_bgps,2,2.2570455074310303
93,single_bgps,3,2.2147278785705566
94,single_bgps,0,23.81137204170227
94,single_bgps,1,25.438671350479126
94,single_bgps,2,22.82119369506836
94,single_bgps,3,25.459492921829224
95,single_bgps,0,0.3066070079803467
95,single_bgps,1,0.23679685592651367
95,single_bgps,2,0.2713785171508789
95,single_bgps,3,0.26751232147216797
96,single_bgps,0,0.41051411628723145
96,single_bgps,1,0.3687896728515625
96,single_bgps,2,0.37489962577819824
96,single_bgps,3,0.3623189926147461
97,single_bgps,0,0.9047853946685791
97,single_bgps,1,0.9062247276306152
97,single_bgps,2,0.8911805152893066
97,single_bgps,3,0.9598908424377441
98,single_bgps,0,23.51990246772766
98,single_bgps,1,26.49183940887451
98,single_bgps,2,22.85655903816223
98,single_bgps,3,24.61805295944214
99,single_bgps,0,22.76708197593689
99,single_bgps,1,24.242092847824097
99,single_bgps,2,22.512707948684692
99,single_bgps,3,25.599257707595825
100,single_bgps,0,22.11663007736206
100,single_bgps,1,22.65535545349121
100,single_bgps,2,20.877220153808594
100,single_bgps,3,21.372286319732666
101,single_bgps,0,22.66549324989319
101,single_bgps,1,23.571956872940063
101,single_bgps,2,21.389812231063843
101,single_bgps,3,18.68354606628418
102,single_bgps,0,19.43017840385437
102,single_bgps,1,25.934898614883423
102,single_bgps,2,19.948555946350098
102,single_bgps,3,23.89667582511902
103,single_bgps,0,20.57374668121338
103,single_bgps,1,25.98513698577881
103,single_bgps,2,21.641260385513306
103,single_bgps,3,20.907347202301025
104,single_bgps,0,21.781113624572754
104,single_bgps,1,21.17127299308777
104,single_bgps,2,20.795878887176514
104,single_bgps,3,21.315249919891357
105,single_bgps,0,26.684730052947998
105,single_bgps,1,20.329002618789673
105,single_bgps,2,26.18109154701233
105,single_bgps,3,20.68661403656006
106,single_bgps,0,27.24761962890625
106,single_bgps,1,21.292981147766113
106,single_bgps,2,26.160447120666504
106,single_bgps,3,21.686763525009155
107,single_bgps,0,0.18346190452575684
107,single_bgps,1,0.0062787532806396484
107,single_bgps,2,0.004488945007324219
107,single_bgps,3,0.004094123840332031
108,single_bgps,0,4.958269834518433
108,single_bgps,1,4.340059995651245
108,single_bgps,2,4.578720331192017
108,single_bgps,3,4.538993835449219
109,single_bgps,0,26.669933795928955
109,single_bgps,1,22.14455771446228
109,single_bgps,2,27.248046398162842
109,single_bgps,3,20.69010329246521
110,single_bgps,0,0.05103945732116699
110,single_bgps,1,0.006842613220214844
110,single_bgps,2,0.0059583187103271484
110,single_bgps,3,0.005578279495239258
111,single_bgps,0,0.00595402717590332
111,single_bgps,1,0.005555629730224609
111,single_bgps,2,0.005089282989501953
111,single_bgps,3,0.005418539047241211
112,single_bgps,0,0.008329391479492188
112,single_bgps,1,0.006221771240234375
112,single_bgps,2,0.005837917327880859
112,single_bgps,3,0.005898237228393555
113,single_bgps,0,0.0068247318267822266
113,single_bgps,1,0.005902290344238281
113,single_bgps,2,0.0061626434326171875
113,single_bgps,3,0.006364345550537109
114,single_bgps,0,0.011108875274658203
114,single_bgps,1,0.009369850158691406
114,single_bgps,2,0.009586572647094727
114,single_bgps,3,0.009789228439331055
115,single_bgps,0,0.01085972785949707
115,single_bgps,1,0.008895397186279297
115,single_bgps,2,0.008439302444458008
115,single_bgps,3,0.008682966232299805
116,single_bgps,0,0.008085489273071289
116,single_bgps,1,0.00697779655456543
